adversarial_jargon,restored,transform_type
宋88緣,送88元,1 4
首寸800,首存800,4
宋800名,送800名额,1 4
粸牌,棋牌,1 4
得158￥,得158元,10
VIP宋188,VIP送188,1 4
領,领,4
墺迪粸牌,奥迪棋牌,1 4
嶺,领,1
亚搏岭,亚博博彩,1 4
娶58体验,取58元体验,1 4
神单,推荐的博彩单,7
１８-８８８８,188888,8 10
領专“鼠”福利,领专属福利,1 4 10
BāiShèngqí*pái,百胜棋牌,2 10
200sòng88,200送88,2
chuo,网址,2
Ｖ⑧刓咖,VIP玩家,1 4 10
妞扭丶补余,牛牛捕鱼,1 4 10
栢傢楽,百家乐,1 4
今花,金花,1 4
JJ比赛,棋牌游戏平台,7
金币,虚拟货币,7
斗运会,赌博比赛,7
赢金条大奖,赢取高价值奖品,6
逢⑧必发,逢八必发,10
現唫,现金,4
活働,活动,4
賺,赚,4
瀭苞,输包,1 4
唫,金,4
理財,理财,4
其棑,棋牌,1 4
补余,捕鱼,1
琻椛,金花,4
視训,视讯,1 4
驻冊,注册,1 4
cp,彩票,2
茴桖,回血,1 4
賺,赚,4
賠,赔,4
v,微信,3
點v7rk.cn/65,点击链接,4 10
sòng18￥,送18元,2 10
好瀛ab,好赢博彩,1 3
亚博体育,赌博网站,7
注册送88,注册赠送88元,6
一杯水,亚博体育,7
荭苞,红包,1 4
點,点,1 4
垹/掟,博彩/赌博,4
宋,送,1
嚸,点,1 4
麒牌,棋牌,1 4
蹴诵,注册,4
噺用戸苞灜,新用户包赢,1 4
逋魚,捕鱼,1 4
唫糀,金花,1 4
牜牜,牛牛,5
来就给68,注册送68元,7
上剘的（17）羊,上期的（17）码,1 4 7
徵,微信,7
長剘,长期,1 4
穩,稳,1 4
gtp,GPT,3
粸牌,棋牌,1 4
VΙΡ,VIP,4
嬴,赢,4
贈１２８８,赠1288,4 10
千杤荭苞,千元红包,1 4
活冻,活动,1
企鹅,QQ,7
威,微信,1
tyc,太阳城,2
其排,棋牌,1 4
榨巾嬅,炸金花,1 4
补喻,捕鱼,1 4
住策,注册,1 4
頌,送,1
禹簕,娱乐,1
钮扭,牛牛,1
粨枷牞,百家乐,1 4
泷虎,龙虎,1 4
诓浣,狂欢,1
芐崽锂煲,下注礼包,1 4
x斗︱麻︱牛︱龙︱给地︱︱你主︱将︱牛︱琥︱738,斗牛、麻将、龙虎斗等赌博游戏,1 4 8 10
眞唫簯牌,真钱棋牌,4 6
妞妞,牛牛,1
抓渔,捕鱼,4 6
唫錵,金花,1 4
地注,低注,1
沅,元,4
罔止,网址,1 4
簯簰,棋牌,4
下栽,下载,1
首茺,首充,1 4
荭苞,红包,1 4
抖地柱,斗地主,1 4
扎今花,炸金花,1 4
汼汼,牛牛,4
补渔,捕鱼,1
注卌,注册,4
稳賺,稳赚,4
瀭苞,输包,1 4
賠本唫,赔本金,4
賺.钱,赚钱,4 10
墺迪粸牌,奥迪棋牌,4
嶺,领,1
乐唬大奬,乐虎大奖,1 4
棋/牌電/子体/逳,棋牌电子体育,1 4 10
装鱼台,捕鱼平台,6
萁簰,棋牌,1 4
住策,注册,1 4
补漁,捕鱼,1 4
咟傢泺,百家乐,4
炸唫錵,炸金花,1 4
汼/汼,牛牛,1 4 10
嶺,领,1
葒苞,红包,1 4
贈888圆,赠888元,1 4
牜牜,牛牛,4
斗哋宔,斗地主,1 4
哺魚,捕鱼,1 4
琻錵,金花,1 4
旗棑,棋牌,1 4
實劦咑慥,实力打造,1 4
嘸限愅噺,无限更新,4
琎僦浨,进就送,4
哋祉,地址,4
苨䔮,VIP,4
网扯,网址,4
宋,送,1
玛,吗,1 4
餸伱,送你,1 4
17￥,17元,10
剘,期,4
䑕,鼠,4
徵,微信,4
長剘,长期,4
穩,稳,4
koI,彩票,3
ＶＩＰ,会员,3
梆啶,绑定,1 4
沅,元,4
進,进,4
提,提现,6
百嫁乐,百家乐,1 4
六和,六合彩,1 4
峬渔,捕鱼,1 4
琪簲,棋牌,1 4
汧昈,开户,1 4
聆38,领38,1 4
真｜炸｜红｜金｜注人｜鱼｜黑｜花｜测陪｜麻｜红｜牛｜松玩｜将｜包｜牛,炸金花、红金、注人、捕鱼、黑花、测陪、麻将、红牛、松玩、将包牛,8 10
25-888戳,25-888点击,6
卜漁,捕鱼,1 4
粸牌,棋牌,1 4
亜十尃,亚特兰大,4 5
pt打大蓝,PT老虎机打大蓝,3
mg冰球,MG冰球突破,3
放大水,放水，指赌博中故意让玩家赢钱,7
AG牛,AG牛牛,
賺,赚,4
瀭苞,输包,1 4
唫,金,1 4
理財,理财,4
賺.钱,赚钱,4 10
vip,会员,3
28-999沅,28-999元,4
粸牌,棋牌,4
㮸,送,1
2OOえ,200元,4 10
天龙扑克,赌博平台,6
百万回馈,高额奖金,6
生肖之王,赌博活动,7
不花钱拿百万底池,免费参与高额赌博,6
粸牌,棋牌,4
258￥♧♡✡,258元,10
稳賺,稳赚,4
瀭苞,输包,1 4
賠本唫,赔本金,1 4
賺.钱,赚钱,4 10
28+38+18真送,赠送28元、38元、18元,6 10
Be9,博彩,3
35+18+38真送,赠送博彩金额,6 10
滚球,实时投注,6
单场,单场投注,6
串关,多场连串投注,6
Q69粸牌,棋牌,1 4
嶺,领取,1 4
巴/黎/人bb8pp点com,巴黎人bb8pp.com,8 10
特遙一佰崧58,特邀一百送58,1 4
砸/金/蛋,砸金蛋,8 10
果果Q2764404494,联系QQ2764404494,3
䔡多多,拼多多,4
錢多多,钱多多,4
镁妞,美女,1 4
钮狃,牛牛,1
淦花,金花,4
浦漁,捕鱼,4
札斤,扎金,1 4
嫲/姜,麻将,1 4 8 10
咋巾花,炸金花,1 4
妞妞,牛牛,1
柏嫁勒.,百家乐,1 4 10
嚸,点,4
都场,赌场,1
奥門崴尼撕人,澳门威尼斯人,1 4
特邀赠送,特邀赠送,
威伲斯人,威尼斯人,4
濠禮,豪礼,1 4
特遨注卌首茺３O０贈１Ｏ０,特邀注册首充300赠100,3 4 10
JJ比赛,赌博比赛,3
金币,虚拟货币,6
斗运会,赌博活动,7
赢金条大奖,赢取高价值奖品,6
悟空,代理,7
qi牌,棋牌,2
视讯,视频赌博,6
䒤结算,秒结算,4
wVw,www,4
粸牌,棋牌,4
苞嬴,包赢,1 4
岭逋魚,领捕鱼,1 4
唫糀,金花,4
牜牜,牛牛,4
佨,包,1 4
醉高⑧⑧⑧,最高888,1 10
妹,美女,6
噌您6-8888,赠您6-8888,4
琪棑,棋牌,1 4
葒笣,红包,1 4
祝册,注册,1
颂,送,1
嚸击,点击,1 4
ℚℚ,QQ,10
澬琻,资金,1 4
+V,加微信,3 10
bu渔,捕鱼,2
鑫錵祝测,金花注册,1 4
必㮸,必中,4
特幺浺,特码冲,1 4
餸38,送38,1
视训,视讯,1 4
13水,十三水,10
卟鱼,捕鱼,1
斗地注,斗地主,1 4
牪,牛牛,4
Hi8u镁|逋|淦钕|鲨|埖再|䒜|嘛綫|汼,Hi8u美女捕鱼炸金花花再来嘛线上牛牛,1 4 10
註®侧,注册,1 4 10
稳挣,稳赚,6
人㤨,人脉,4
瀭苞,博彩,4
賠本唫,赔本金,1 4
挣.钱,赚钱,6 10
領,领,4
专“鼠”福利,专属福利,1 4 10
7O/时,70元/时,3
+??,加微信或其他联系方式,10
JJ比赛,赌博比赛,3
金币,虚拟货币,7
鯆.渔,捕鱼,1 4 10
菳.錵,金花,1 4 10
扭.扭,牛牛,1 10
泷.唬,龙虎,1 4 10
柱.策,注册,1 4 10
Ｖ⑧刓咖,VIP玩家,1 3 10
妞扭丶补余,牛牛捕鱼,1 10
栢傢楽,百家乐,4
今花,金花,1 4
YB平台,赌博平台,3
加V,加微信,3
红单,中奖单,6
包赔,保证赔偿,6
姚~記^骑^pai,姚记棋牌,1 2 4 10
尽嘻,尽兴,1
鼠哖,鼠年,4
豪華大禮包√,豪华大礼包,4 10
首茺,首充,1 4
茺值,充值,1 4
抢庄牪,抢庄牛牛,4
祚唫糀,炸金花,4
抓鱼,捕鱼,6
下栽,下载,4
玩址,网址,1
粸牌,棋牌,1 4
贈,赠,4
紅笣,红包,4
朂篙,最高,1 4
淇俳,棋牌,1 4
渣/糀,炸金花,4 10
纽/沑,牛牛,1 10
佈/羽,捕鱼,1 4 10
颂,送,1
奥菛银河,澳门银河,1 4
茺值,充值,1 4
忧慧,优惠,1 4
今/花布/雨炄/炄,金花捕鱼,1 4 10
铃❆♥♈,领,1 10
唋额,余额,1 4
薪平咍,新平台,1 4
内审复核,通过非法手段获取考试通过,6
電孑,电子,4
哺魚,捕鱼,1 4
棋排,棋牌,1 4
扭扭,牛牛,1
領67￥,领67元,4 10
誉㦡,娱乐,1 4
杻杻,牛牛,1
百+楽,百家乐,4 10
龍唬,龙虎,1 4
芐載澧苞,下载礼包,1 4
Jin/,金花,2 10
嫲/姜,麻将,1 4 10
紐/紐㓽,牛牛,1 10
KU游,博彩平台,3
陪率,赔率,1 4
住册,注册,1 4
冲直,充值,1 4
礼/金,礼金,10
bu渔,捕鱼,2 4
鑫錵,金花,1 4
祝测,注册,1
必㮸,必中,4
崴尼斯人,威尼斯人,4
注卌茺,注册充值,1 4
宋,送,1
媄女网扯,美女网站,4
游，xi,游戏,2 10
惘址,网址,1
注，側,注册,1 10
淞,送,1
签，菿,签到,1 4 10
询，问，再，綫，愘，腹,在线客服,1 4 10
办，哩,办理,1 4 10
太陽诚,太阳城,1 4
采票,彩票,1 4
回血,赢回输掉的钱,7
俬帶,私带,4
㣲,微,4
餸,送,1
20￥,20元,10
Puo,博彩,2
贵宾会,赌博网站,7
导湿,导师,1
铳值,充值,1 4
泠采矜,领彩金,1 4
福荔,福利,1
唬或渔,捕鱼,4
缯仨叭,赠38,1 4 10
蓓氺,返水,4
同乐*乐娱*,同乐乐娱,8 10
新游.戏,新游戏,8 10
活*动,活动,8 10
客*服,客服,8 10
秒/兌,秒兑,4 8 10
鼠你鸿运,祝你好运,1 6
渔老板,捕鱼游戏,7
沖掷,充值,1 4
嚸,点,1 4
wz,网址,2
风凰,凤凰,1 4
苹台,平台,1 4
注卌,注册,4
媄女网扯,美女网站,1 4
D瓴188,鼎力188,2 4
兜笛竹,斗地主,1
布渝,捕鱼,1 4
粸簰,棋牌,1 4
紅笣,红包,1 4
贈朂篙８８８８,赠送最高8888,1 4 10
其棑,棋牌,1 4
补余,捕鱼,1 4
琻椛,金花,1 4
視训,视讯,1 4
茺宋,充值送,1 4
驻冊宋,注册送,1 4
35+18+38真送,赠送金额,10
5w3,网站,2 10
吙狐軆育,火狐体育,1 4
宋３８,送38,1 4 10
掫,抽,4
領掫,领奖,4
沖,充,1
宋,送,1 4
杁,玩,4
和多号副号,备用联系方式,6
采I漂,彩票,1 3 4
+Vx,+微信,2
亚搏,亚博,1 4
岭取,领取,1 4
采票,彩票,1 4
漏冻,漏洞,1
稳钟,稳赚,7
加威,加微信,1
荭包,红包,1 4
帳户,账户,1 4
牜牜,牛牛,4
斗哋宔,斗地主,4
哺魚,捕鱼,1 4
琻錵,金花,1 4
章a1678728854,账号1678728854,1 3
秘xmj3874,密码xmj3874,6
38亓qu,38元取款,2 4
P新春邀請,博彩新春邀请,3 4
②O~⑤OO,200~5000,10
沖还?,充值返还,1 10
粨枷牞,百家乐,1 4
泷唬,龙虎,1 4
芐崽锂煲,下注礼包,1 4
冲赠,充值赠送,1 4
精彩游戏,赌博游戏,7
秒兑换,快速兑现,6
戳,点击,6
領取,领取,4
l2O,120,4
㮸②⑧~⑧⑧⑧園滿佰妙下,充值288~888元满百秒下,1 4 10
柏稼乐,百家乐,1 4
今花,金花,1 4
纽钮,牛牛,1
京嘻,惊喜,1 4
葳尼撕人,微信私人,1 4
倸唫,彩金,1 4
АРР,APP,4
旗啤,棋牌,1 4
阮,元,4
嚸,点,4
百冢勒,百家乐,1 4
箕一髀,棋牌,4
宋葒苞,送红包,1 4
注冊,注册,4
蒱魚,捕鱼,4
炸琻花,炸金花,4
逗帝煮,斗地主,1 4
扎妗椛,炸金花,1 4
汼钮,牛牛,1 4
芐酨柱冊鎹1８,下载注册送18,1 4 10
信,微信,7
漂子,票子（钱）,1 4
大泙苔,大平台,1 4
dg6,代购,2
V,微信,3
粸牌,棋牌,1 4
158￥,158元,10
注卌,注册,4
送100,赠送100,6
粸牌,棋牌,1 4
贈,赠,4
領取,领取,4
拾淍年宋宋宋,十周年送送送,1 4
驻栅,注册,1 4
鎹蕞篙68沅琻花,送最高68元金花,1 4
佰家铄,百家乐,1 4
汼汼,牛牛,1 4
哺渔,捕鱼,1 4
瑅哯仯菿,提现到账,1 4
补余,捕鱼,1 4
逗牛,斗牛,1
巾哗,金花,1
斗哋主,斗地主,1 4
其棑,棋牌,1 4
大优蕙,大优惠,1 4
补余,捕鱼,1 4
琻椛,金花,1 4
視训,视讯,1 4
茺宋,充值送,1 4
驻冊宋,注册送,1 4
其棑,棋牌,1 4
补余,捕鱼,1
蚪犇,斗牛,1 4
下栽,下载,4
宋１8,送18,1 4 10
假旗牌,假棋牌,1
下栽,下载,4
柱册,注册,1 4
168大李佨,168大理财,1
點,点,4
骑徘,棋牌,1
扑渝,捕鱼,1 4
地柱,斗地主,1 4
锦桦,金花,1 4
妞妞,牛牛,1
住测泠,注册领,1 4
k魚多多,捕鱼多多,3 4
銭多多,钱多多,4
美妞搞—波,美妞搞一波,10
妞妞.轧今哗,妞妞炸金花,1 4 10
扑魚,捕鱼,4
见面礼今28-888,见面礼金28-888,4
入：365dsw.net蛉棷,入：365dsw.net领取,4
贈678圆,赠678元,4
蒱鱼,捕鱼,4
百家乐,百家乐,
粸牌,棋牌,4
牜牜,牛牛,4
帺！排,棋牌,4 10
啋淦,彩金,4
玲取,领取,4
辋頁,网页,1 4
太阳城,赌博网站,6
夺宝电子,赌博游戏,6
CQ9宙斯,赌博游戏,6
爆奖,中奖,6
仲桦采嘌,中华彩票,4
琻,金,1 4
碦諨,客服,1 4
伶娶,领取,1 4
金沙,赌博网站,7
微信专员,推广人员,6
荭包,红包,1 4
派蕟,派发,4
賬户,账户,4
巨禮,巨礼,4
啋淦,彩金,4
翎取,领取,1 4
翎呿,领取,1 4
墺迪粸牌,奥迪棋牌,1 4
嶺,领,1
玛,码,1 4
餸伱,送你,1 4
55￥,55元,10
vjp,vip,4
祺簰,棋牌,1 4
鑫錵,金花,1 4
吽汼瀧琥,牛牛龙虎,1 4
贰捌祝测,28注册,1
㮸,送,1
住ce,注册,2 4
188,赠送188元,10
典,点击,1 4
！击,点击,10
帺徘,棋牌,1 4
愙諨,客服,1 4
采唫,彩金,1 4
領取,领取,4
眞唫簯牌,真钱棋牌,1 4
抓渔,捕鱼,1 4 6
唫錵,金花,1 4
地注下栽,低注下载,1 4
沅,元,1 4
300送100,博彩优惠活动,10
加薇,加微信,1 4
Ⅴ,微信,3
宋②⑧¥,送28元,1 10
6766,6766元,10
點:3o.t2ac.com,点击:3o.t2ac.com,4 6
旗簰,棋牌,1 4
忧惠,优惠,1 4
ⓟĩnƊⓊ⓿Ɗ⒰ⓞ,拼多多,2 10
扎金椛,炸金花,1 4
卜魚,捕鱼,1 4
笼虍,龙虎,1 4 5
吽吽,牛牛,4
攸戏,游戏,1
下傤,下载,1 4
葱贝,充值,4 7
曾,赠,4 5
琪簲,棋牌,1 4
沅,元,1 4
采票,彩票,1 4
㣲,微,1 4
圆菜,彩金,1 4 7
琻,金,1 4
彩金,博彩彩金,6
p电魭⒎棑咋鱼,电玩旗排炸金花逋余,1 3 4 10
芬饷,分享,1 4
送⑧⑧⑧,送888,10
紧 急 公 告,紧急公告,8
犹,游,1
禮金,礼金,4
沖,充,1
宋,送,1
嚸,点,4
岭,领,1 4
平苔,平台,1 4
曰化率,日化率,4
沅,元,4
公安局受案登记表,伪造的法律文书,7
阳光警务执法办案査询系统,虚假的执法系统,7
还款事宜,诈骗要求付款,7
栢苛芐,百家乐,1 4
逋魚,捕鱼,1 4
妞妞,牛牛,1
妗骅,金花,1
哽茤京嘻,更多惊喜,1 4
采金,彩金,1 4
20￥,20元,10
颂.二十,送20,1 10
渞珫讼2棓,下注送2倍,1 4
蕞高58886,最高58886,1 4
其棑,棋牌,1 4
大优蕙,大优惠,1 4
补余,捕鱼,1 4
琻椛,金花,1 4
視训,视讯,1 4
茺宋,充值送,1 4
驻冊宋,注册送,1 4
受理到账,处理非法交易到账,6
1PI,一批,2 10
粸牌,棋牌,1 4
贈,赠,4
紅笣,红包,1 4
朂篙,最高,1 4
劵,券,4
荭苞,红包,1 4
登入,登录,6
旗棑,棋牌,1 4
眞朲第煮,真人地主,1 4
今椛,金花,1 4
妞妞,牛牛,1
卜渔,捕鱼,1 4
睬瞟,彩票,1 4
佰加勒,百家乐,1 4
宋,送,1
釒冠~祺排,金冠棋牌,1 4 10
开戸,开户,4
宋28-888,送28-888,1
薪平台,非法资金平台,7
可翎,可领取,1 4
七彩众楽,博彩平台,7
爆率,中奖概率,7
放氺8钇,放水8亿,1 4
卟漁,捕鱼,1 4
钮钮,牛牛,1
笼唬,龙虎,1 4
唫誮,金花,4
炷冊,注册,1 4
頌,送,1
鎹,送,1
芐傤,下载,1 4
亜十尃,亚特兰大,4
免飞送,免费送,1 4
未岭,未领取,1 4
富采VIP,非法博彩平台,7
快三,一种快速彩票游戏,7
采票漏冻,彩票漏洞,1 4
加威,加微信,1
亚博体育,非法博彩平台,7
抠,QQ,1
繓给力,超给力,4
3D大厅游戏,赌博游戏,7
鎹③⑧-⑥⑧⑧⑧,送388-6888,1 10
纽沑,牛牛,1
补余,捕鱼,1
柏佳乐,百家乐,1
眇諟現,秒到账,1 4
上剘的（40）猴,上期的40号,1 4
徵,微信,4
長剘,长期,4
穩,稳,4
CKa,彩票,2
松松土,赌博或色情暗示,7
榨琻椛,炸金花,4
逗哋柱,斗地主,1 4
蔴蒋,麻将,1 4
祺簰,棋牌,1 4
領138沅,领138元,1 4
转运荭苞,转运红包,1 4
淼,秒,1
宋,送,1
仟,千,1 4
赚,赚,
贝兼本/金,本金,5 10
回/血,回本,6 10
崴,微信,7
祺簰,棋牌,4
鑫錵,金花,4
吽汼瀧琥,牛牛龙虎,1 4
贰捌祝测,二八注测,1 4
真送,赠送,6
墺們,澳门,4
银河,赌博网站,7
瑨升,晋升,1 4
菿,到,1 4
確認翎掫,确认领取,1 4
堤,提,1 4
泷虒,龙虎,1 4
祚淦誮,炸金花,4
蚪哋柱,斗地主,1 4
濠砗羙㚢,豪车美女,1 4
⑦③⑧,738,10
戳,点击,6
金/沙,金沙,8 10
衤乚金,奖金,4
大浆,大奖,1 4
岀前,出钱,1 4
伱岀力,你出力,4
采-㬓,彩票,4 8 10
毎天一小莳,每天一小时,1 4
収入,收入,4
茄∨,加微信,1 3 10
开号,开户,6
申情,申请,1 4
一杯,一倍,1
XO彩漂,彩票,1 3 4
高碚率,高赔率,4
注卌点,注册点,4
徽信,微信,4
V信,微信,3
玛,码,1 4
餸伱,送你,1 4
55￥,55元,10
亚搏88,亚博博彩,1 4
稳单,稳定的赌博投注,7
粸牌,棋牌,1 4
SVΙР,VIP,4
贈88￥,赠88元,4 10
卟魚,捕鱼,1 4
牜牜,牛牛,4
斗哋主,斗地主,1 4
冲100到218,充值100送218,6
送188,赠送188,6
本一水,本次活动,7
娛乐柱删熷,娱乐注单赠,1 4
现琻,现金,1 4
手矶号,手机号,1 4
KU娱,KU娱乐,6
乐城,博彩乐城,7
首二存,首次二次存款,6
網鑚平台,网络赌博平台,4
威风,微信,7
雷速体育,博彩平台,7
公开推荐,博彩推荐,7
領取,领取,4
AI701,爱你呦,1 2 10
齐排,棋牌,1
顽家,玩家,1
㧤,赚,4
丅傤,下载,1 4
汼汼,牛牛,1 4
钭底注,斗地主,1 4
哺渔,捕鱼,1 4
咋唫椛,炸金花,1 4
粸牌,棋牌,1 4
苞嬴,包赢,1 4
逋魚,捕鱼,1 4
唫糀,金花,1 4
牜牜,牛牛,1 4
垫子,赌博策略,7
CQ9,赌博游戏品牌,3 10
放睡,放水，指赌博中故意输给玩家,1
直式洪福齐天,赌博游戏名称,7
压,下注,6
旺,赌博网站,1
骑派,棋牌,1
扑余,捕鱼,4
橧②⑧~③⑧⑧⑧⑧￥,赠28~38888元,1 10
大李鲍,大利包,4
發声,发声,4
威,微信,1
旗牌,棋牌,1
点客网扯,点击网站,7
洦万荭包,百万红包,4
u来僦给8-Z88,新用户注册赠送888,2 3 4 10
Mm盈了4oOo,赢了4000,1 3
诸策秒给,注册秒到账,1 6
垹/掟/禮/金,红包/彩金,4 10
沖,充,1
掷,送,7
嚸,点,4
哺渔,捕鱼,4
汼汼白,牛牛牌,1 4
拢沪红暴,龙虎斗,1 4
領,领,4
专“鼠”福利,专属福利,1 10
鱼多多,捕鱼,7
淦花,金花,4
扑鱼,捕鱼,1 4
札斤,扎金花,1 4
嗱,拿,1 4
領&取,领取,4 8 10
鎹,换,6
v店紫,微店子,3 1
琦-·湃,棋牌,1 4 10
吥余鱛晲,捕鱼游戏,1 4
旗簰,棋牌,1 4
ag地主,斗地主,3
铺鲸,捕鱼,1 4
嘛蒋,麻将,1 4
补克,扑克,1 4
住册,注册,1 4
颂金猪,送金币,1
叁重福莉,三重福利,1 4
粸牌,棋牌,1 4
咋金誮,炸金花,1 4
逋魚,捕鱼,1 4
龙虒,龙虎,4
䒜䒜,牛牛,4
蝣戏,游戏,1
下傤,下载,1
贈,赠,4
守冲,首充,1
淇排,棋牌,1 4
卟鱼,捕鱼,1
抖地柱,斗地主,1 4
抖妞,斗牛,1 4
扎妗铧,炸金花,1 4
卜漁,捕鱼,1 4
逗哋祖,斗地主,1 4
NN粸牌,棋牌,1 3 4
嶺,领,4
佰嫁乐,百家乐,1 4
抓鱼,捕鱼,6
傤,载,1 4
宋8え,送88元,1 10
渴茺,可充,1 4
宋100沅,送100元,1 4
众☼嬴,众赢,4 8 10
咋☼琻☼錵,炸金花,1 4 8 10
斗☼䒜,斗地主,4 8 10
哺☼魚,捕鱼,1 4 8 10
葒☼苞,红包,1 4 8 10
注☼册,注册,8 10
贈☼2☼8~1☼6☼8☼え,赠28~168元,4 8 10
其棑,棋牌,1 4
卟鲇,捕鱼,1 4
午午,牛牛,4
鈄帝驻,斗地主,1 4
咋釜化,炸金花,1 4
瀛几栢,赢几百,1 4
琪牌,棋牌,1 4
領取,领取,4
亚/播/欲/乐,亚博娱乐,1 4 8
迴血,回血,4
攥,赚,1
驻策,注册,1
颂３８８,送388,1
╋Ｖ,加微信,3 10
簱簰,棋牌,1 4
ＶＩＰ,会员,3
梆啶,绑定,1 4
沅,元,4
戳,点击,6
vip,会员,3
威,微信,1
简_厉,简历,1 4 8
禄用,录用,1
曰/300⨦,日/300+,4 10
扣扣群,QQ群,1
注，册,注册,8
168￥,168元,10
官網,官网,4
粸牌,棋牌,4
䌽琻,现金,1 4
奥门.新.蒲.京,澳门新葡京,4 10
仮俐,返利,4
媞款,提款,4
玛,吗,4
餸伱,送你,1 4
55￥,55元,10
锺~電仔~Qi簰~捕渔,种类多，电玩，棋牌，捕鱼,2 4 10
56￥,56元,10
咋唫椛,炸金花,4
妞妞,牛牛,1
哺魚,捕鱼,1 4
护立增688芫,福利赠688元,1 4
⑥合,六合彩,10
笳婷新の葳,加婷新的微信,1 4 10
住ce,注册,1 2 4
给188,赠送188元,6
塨-禧-潑-財,恭喜发财,1 4 8
杂筋化,炸金花,1 4
峬渔,捕鱼,4
註策,注册,1 4
頌,送,1
丅傤,下载,1 4
Q,QQ,3
扫脸照,人脸识别照片,6
搞人,进行威胁或骚扰,6
168待?嗱,168彩金,10
領&取%充还-可颂150%,领取充值返还150%,1 4 8 10
扑渝,捕鱼,1 4
地柱,地主,1 4
锦桦,金花,1 4
妞妞住测,牛牛注册,1 4
騎徘,棋牌,1
洦迦樂,百家乐,1 4
龍琥,龙虎,1 4
扭妞,牛牛,1
補余,捕鱼,1 4
駐廁,注册,1 4
沅,元,1 4
搭服嶺,客服领,4
MīngChēqí。pái,名车棋牌,2
sòng￥38,送38元,2 10
え,元,4
注冊,注册,4
粸牌,棋牌,1 4
仵午,微信,4
德克,注册,4
祝册,注册,1 4
体先即到,提现即到,1
貴宾旗排,贵宾棋牌,1 4
頂級服務,顶级服务,4
超哆忧惠,超多优惠,1 4
补余,捕鱼,1 4
逗牛,斗牛,1
巾哗,金花,1 4
斗哋主,斗地主,1 4
纯讼36o.888go.net,纯送360.888go.net,1 4
葒苞,红包,1 4
囎,赠,4
牜牜,牛牛,5
斗哋宔,斗地主,1 4
哺魚,捕鱼,1 4
琻錵,金花,4
亚搏,亚博（博彩网站）,1 4
鎹,送,1
推单,推荐下注单,6
曰—新—2OO,日新200,4 8
+Q3007771372,加QQ 3007771372,3 10
驻策,注册,1
茺,充,1 4
扎?金?椛,彩金花,4 8
笼?虍,龙虎,1 5 8
吽?吽,牛牛,4 8
莜戏,游戏,1
岭,领,1
sòng18￥,送18元,2 10
好瀛qe,好赢券,1 2
qi徘,棋牌,1 2
嶺,领,1 4
拄冊,注册,4
沖,充,1 4
无流水不线制,无流水不限制,1
芝蔴芬优,芝麻信用分,1 4
扖,入,4
苛操莋,可操作,4
収扖,收入,1 4
╇V,加微信,3 10
住ce,注册,1 2 4
188,赠送188元,10
Q69粸簰,棋牌,3 4 10
嘉滨,嘉宾,1 4
嶺,领,1 4
內墓,内幕,1 4
肌会,机会,1 4
癙,输,4
威,微信,1
冕費,免费,1 4
金椛,金花,1 4
卜魚,捕鱼,1 4
笼虍,龙虎,1 4
吽吽,牛牛,4
驻ce,注册,1 2
贈58,赠58,4
鸿煲茺淞888,红包送888,1 4
天空彩漂,天空彩票,1 4
柱卌下栽,注册下载,1 4
茺值,充值,1 4
铃取,领取,1 4
加/信,加微信,10
注，册,注册,10
668￥,668元,10
洦迦乐,百家乐,1 4
牪,牛,4
補渔,捕鱼,1 4
首拵,首存,1 4
vip,会员,3
沅,元,4
仮利,福利,4
百花齐放點,彩金,7
珂服,客服,1
釆票,彩票,4
回皿,回本,4
棈痽,精确,4
俬帶,私带,4
裙,群,1 4
威,微信,1
骑派,棋牌,1
扑余,捕鱼,1 4
橧②⑧~③⑧⑧⑧⑧￥,赠28~38888元,4 10
彩漂,彩票,1 4
回血,赢回损失,7
收米,赢钱,7
稳賺,稳赚,4
濠禮,豪礼,1 4
宋5/0,送50,1 10
大/額無憂,大额无忧,4 10
悻緷克沪,幸运客户,1 4
搓,访问,7
威信,微信,1
快3,一种彩票游戏,6
铳,充,4
粸牌,棋牌,4
住测,注册,1 4
贈88,赠88,4
淇排,棋牌,4
卟鱼,捕鱼,1
牛午,牛牛,4
地煮,地主,4
J伱,你,2 4
特約KY,特约客户,3 4
其徘v.i.p,棋牌VIP,3 4 10
崇/送/398,充值送398,1 10
紐紐,牛牛,1
垉,捞,4
魚荖闆,捕鱼老板,4
禮金,彩金,6
粸牌,棋牌,4
逋魚,捕鱼,4
䒜䒜贈10-918,赠送10-918,4
賺,赚,4
瀭苞,输包,1 4
賠本唫,赔本金,1 4
理財,理财,4
PL,嫖娼,3
胃信,微信,1
莱~太/楊/诚,来泰阳城,1 4 10
主卌立橧,主力赠,1 4
媞,提,1 4
豪李,豪礼,1
仟禧淇猅K纽纽,千禧棋牌牛牛,1 3 4
札紟埖,炸金花,1 4
巃唬絔,龙虎斗,1 4
組怂｛188｝,送188,1 10
禮金,彩金,6
沖,充,1 4
宋,送,1
嚸,点,1 4
岭,领,1 4
xin@pu&,信普,2 10
VIP,会员,3
網址,网址,4
获赠68,赠送68元,6
粸牌,棋牌,4
得158￥,得158元,10
盈哆哆,赢多多,1 4
俞哆哆,余多多,1 4
嫲江,麻将,1 4
珑hu,龙虎,2 4
祁排,棋牌,1
沅,元,4
粸牌,棋牌,4
牜牜,牛牛,4
